gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
12/2/17,9:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,2,Maddox,Tre,Taylor,Ben,Davis,Marc,Jamal Murray,Starter,33,PG,76,207,2/23/97,28,4,2,2,0,3,20,8,0.4,12,3,0.25,8,5,0.625,8,7,0.875,1,3,4,LAL,West,Pacific,Away,Loss,2
12/12/17,7:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Win,2,Workman,Haywoode,Williams,James,Brown,Tony,Jamal Murray,Starter,32,PG,76,207,2/23/97,28,3,2,0,1,1,19,11,0.5789,11,7,0.6364,8,4,0.5,2,2,1,1,3,4,DET,East,Central,Home,Loss,2
12/13/17,7:30,Regular,Murray,Jamal,DEN,West,Northwest,Away,Loss,1,Ford,Tyler,Spooner,Bill,Richardson,Derek,Jamal Murray,Starter,36,PG,76,207,2/23/97,28,4,5,3,0,3,17,9,0.5294,9,5,0.5556,8,4,0.5,6,6,1,4,6,10,BOS,East,Atlantic,Home,Win,1
4/1/18,8:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,2,Buchert,Nick,Brothers,Tony,Adams,Bennie,Jamal Murray,Starter,36,PG,76,207,2/23/97,27,7,2,1,0,5,15,7,0.4667,8,4,0.5,7,3,0.4286,10,10,1,1,1,2,MIL,East,Central,Away,Loss,1
10/29/17,6:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Win,1,Orr,J.T.,Lane,Karl,Garretson,Ron,Jamal Murray,Starter,31,G,76,207,2/23/97,26,5,1,1,1,4,14,8,0.5714,11,6,0.5455,3,2,0.6667,8,8,1,1,0,1,BKN,East,Atlantic,Home,Loss,1
1/5/18,9:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,2,Cutler,Kevin,Foster,Scott,Acosta,Ray,Jamal Murray,Starter,33,PG,76,207,2/23/97,26,3,1,0,0,2,13,9,0.6923,6,3,0.5,7,6,0.8571,2,2,1,1,5,6,UTA,West,Northwest,Away,Loss,2
2/15/18,8:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Win,1,Wright,Sean,Wall,Scott,Collins,Derrick,Jamal Murray,Starter,36,PG,76,207,2/23/97,26,5,2,3,0,3,12,9,0.75,5,4,0.8,7,5,0.7143,5,3,0.6,3,2,5,MIL,East,Central,Home,Loss,2
3/15/18,9:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,1,Goble,Jacyn,Kogut,Marat,Callahan,Mike,Jamal Murray,Starter,33,PG,76,207,2/23/97,26,1,2,2,0,1,17,9,0.5294,9,4,0.4444,8,5,0.625,5,3,0.6,2,7,9,DET,East,Central,Away,Loss,2
3/23/18,7:00,Regular,Murray,Jamal,DEN,West,Northwest,Away,Win,1,Fitzgerald,Kane,Maddox,Tre,Corbin,Sean,Jamal Murray,Starter,36,PG,76,207,2/23/97,25,3,2,2,1,2,20,8,0.4,8,3,0.375,12,5,0.4167,4,4,1,3,3,6,WAS,East,Southeast,Home,Loss,1
11/1/17,9:00,Regular,Murray,Jamal,DEN,West,Northwest,Home,Win,2,Taylor,Dedric,Richardson,Leroy,Washington,Tom,Jamal Murray,Starter,21,PG,76,207,2/23/97,24,2,2,0,0,3,10,8,0.8,5,5,1,5,3,0.6,6,5,0.8333,0,3,3,TOR,East,Atlantic,Away,Loss,1
